,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
1178,1619177.125,11.29,Small- and Mid-Sized Office,47.64901,-122.35516,1980,1.0,3,34106,0,57.0,0.0,0.9999999228002928,0.0
1179,2313978.75,16.13,Small- and Mid-Sized Office,47.64934,-122.35592,1980,1.0,3,34545,0,29.0,0.0,1.0000001080390215,0.0
1180,2782066.5,19.39,Small- and Mid-Sized Office,47.64865,-122.35435,1980,1.0,3,70296,0,86.0,0.0,0.9999998202774808,0.0
1181,1217509.125,8.49,Small- and Mid-Sized Office,47.59979,-122.33339,1902,1.0,4,27838,0,77.0,0.0,0.999999897331365,0.0
1192,2050600.75,40.22,Small- and Mid-Sized Office,47.72004,-122.34418,1951,1.0,2,39815,0,62.0,0.0,0.7260365041805432,0.27396361773494915
1196,1485945.875,10.36,Warehouse,47.72183,-122.34328,1972,1.0,1,48112,0,73.0,0.0,1.0000000841215027,0.0
1198,1772188.5,12.35,Small- and Mid-Sized Office,47.73387,-122.34722,2001,1.0,2,26275,16518,27.0,0.0,0.99999971786297,0.0
1203,1689372.625,36.74,Retail Store,47.72337,-122.34373,1998,1.0,1,26115,0,43.0,0.0,0.6797493832954704,0.32025083868042437
1205,1149140.25,45.33,Worship Facility,47.6702,-122.32066,1949,1.0,1,26033,0,78.0,0.0,0.29615445112117517,0.7038453313248753
1207,1881516.125,61.98,K-12 School,47.64344,-122.3509,2007,1.0,4,48660,0,82.0,0.0,0.4371522460377532,0.5628476875264622
1208,5400049.5,180.38,Senior Care Community,47.6441,-122.34795,1970,1.0,2,46539,0,73.0,0.0,0.4271360845858913,0.5728638228223649
1210,2233262.0,79.58,Residence Hall,47.61283,-122.34392,1909,1.0,4,29796,0,47.0,0.0,0.3787338879182111,0.6212661120817888
1211,983595.875,17.12,Retail Store,47.6123,-122.34395,1920,1.0,2,26400,0,36.0,0.0,0.7738574544143956,0.22614267267031798
1212,1262255.75,8.8,Small- and Mid-Sized Office,47.61185,-122.3434,1918,1.0,3,38148,0,98.0,0.0,0.999999405825642,0.0
1215,1806468.0,12.59,Worship Facility,47.62232,-122.36101,1955,1.0,5,31945,0,4.0,0.0,1.0,0.0
1220,4480961.0,31.24,Small- and Mid-Sized Office,47.6189,-122.35713,1985,1.0,5,52908,33055,43.0,0.0,0.9999997768335854,0.0
1226,1169948.875,26.38,Retail Store,47.60683,-122.33771,1900,1.0,4,34680,0,92.0,0.0,0.6624135605925515,0.33758654624972395
1227,5587347.0,247.97,Worship Facility,47.60867,-122.33265,1968,1.0,3,40548,34510,24.0,0.0,0.18919659008112438,0.8108034099188757
1230,2100982.75,20.76,Retail Store,47.61103,-122.33549,1915,1.0,1,36504,0,2.0,0.0,0.9369391538317009,0.06306048919249813
1231,2998208.25,20.9,Small- and Mid-Sized Office,47.61091,-122.33667,1907,1.0,6,35200,0,8.0,0.0,0.999999916616866,0.0
1232,1538750.625,48.35,Small- and Mid-Sized Office,47.60961,-122.33566,1907,1.0,5,35840,0,83.0,0.0,0.4700176807401784,0.529982562964028
1233,1333432.125,9.3,Other,47.60985,-122.33527,1941,1.0,2,25920,0,60.0,0.0,0.9999999062569458,0.0
1234,2883139.0,73.61,Small- and Mid-Sized Office,47.60952,-122.33558,1928,1.0,4,30525,0,17.0,0.2643066506679005,0.7356932842988146,0.0
1252,2946756.25,85.55,Medical Office,47.61065,-122.32125,1962,1.0,2,20570,10285,2.0,0.0,0.5218578903497701,0.47814202481118007
1253,2828950.5,107.45,Small- and Mid-Sized Office,47.61194,-122.32177,1910,1.0,3,73549,0,90.0,0.0,0.3278887347092146,0.6721114420347758
1258,2465983.5,123.41,Worship Facility,47.60821,-122.3296,1962,1.0,3,37796,0,55.0,0.559418889055827,0.35841196828770344,0.08216924403589886
1263,161311.0938,1.12,Warehouse,47.66388,-122.36831,1960,1.0,1,36444,0,80.0,0.0,0.9999994185148845,0.0
1264,966677.125,31.61,Warehouse,47.65907,-122.36783,1950,1.0,1,27553,0,63.0,0.0,0.44233176615201275,0.5576681045390414
1268,2553763.5,82.72,Retail Store,47.62399,-122.33804,1964,1.0,2,45271,0,57.0,0.0,0.44908348012648786,0.550916324084043
1269,1372213.375,35.77,Small- and Mid-Sized Office,47.62437,-122.33802,1920,1.0,3,16200,12180,62.0,0.0,0.5861428074187077,0.4138569193001781
1270,28053172.0,487.53,Large Office,47.62296,-122.3362,2009,1.0,5,508160,0,77.0,0.0,0.774431426150312,0.2255684312633167
1271,966907.375,32.09,Small- and Mid-Sized Office,47.62353,-122.33622,1926,1.0,3,26176,0,95.0,0.0,0.431822127740002,0.5681774844255376
